new_order,order,seed,submitter,year,song,artist,link,submitters
85,1,0,alatar224,2020,I Disagree,Poppy,https://www.youtube.com/watch?v=BmX4S-Bm50U,markusin; alatar224
38,2,0,biscuitsjoe,2020,Brooklyn Bridge To Chorus,The Strokes,https://www.youtube.com/watch?v=2jna3dWEnzo,Sharur; biscuitsjoe
66,3,0,Bluey The Bear,2020,The Adults Are Talking,The Strokes,https://www.youtube.com/watch?v=o4qsjmLxhow,volfied; Bluey The Bear
33,4,0,Bluey The Bear,2020,Blinding Lights,The Weeknd,https://www.youtube.com/watch?v=fHI8X4OXluQ,Lemonspawn; Bluey The Bear
65,5,0,Cave-o-sapien,2020,Running Red Lights,The Avalanches (w/Rivers Cuomo + Pink Siifu),https://www.youtube.com/watch?v=vu8b-z4sgmQ,Sharur; Cave-o-sapien
79,6,0,MuensterCheese,2020,My Tears Ricochet,Taylor Swift,https://youtu.be/CsiVvkzCdSI,MuensterCheese; Lemonspawn
99,7,0,pproteus,2020,I Know The End,Phoebe Bridgers,https://www.youtube.com/watch?v=UQByi9IHiZo,biscuitsjoe; pproteus; xyrix
25,8,0,Sharur,2020,Just a Baby,Neil Cicierega,https://youtu.be/2lcoHWdfO14,jsh; Sharur; Cave-o-sapien
101,9,1,aku chi,2020,Out of Sight,The Beths,https://youtu.be/_Z427sTHAlQ,
9,10,1,alatar224,2020,Sometimes He's in My Dreams,Mary Lattimore,https://www.youtube.com/watch?v=5g2AGGI_FLM,
52,11,1,assemble_me,2020,Years of the Lead,Spectres,https://youtu.be/DFZ4DeDsBSk,
69,12,1,Bluey The Bear,2020,Rack of His,Fiona Apple,https://www.youtube.com/watch?v=RYIkFmoLREc,
90,13,1,Cave,2020,Deadlines (Thoughtful),Car Seat Headrest,https://www.youtube.com/watch?v=pHN7QoFU130,
100,14,1,Cave-o-sapien,2020,The Raven,Destroyer,https://www.youtube.com/watch?v=KZaA_knRa8M&themeRefresh=1,
48,15,1,Donald X.,2020,Overlord,Dirty Projectors,https://www.youtube.com/watch?v=LzHGYtIqLig,
