artist,song,submitter,seed,link
"What Did I Say About the Box, Jack?",If,alatar224,4,https://www.youtube.com/watch?v=XvqThvuUR68
Morse,Som Imaginário,xyrix,2,https://www.youtube.com/watch?v=jxFrjtxk5iU
The Silent Boatman,Parliament,pproteus,6,https://www.youtube.com/watch?v=_CK8KPh167g
Teach Your Children,"Crosby, Stills, Nash & Young",singletee,0,https://www.youtube.com/watch?v=r72QF7JOQvw
Black Sabbath,Black Sabbath,Donkey-Dude,3,https://www.youtube.com/watch?v=ISXnYu-Or4w
Força bruta,Jorge Ben,jsh,2,https://youtu.be/uVjR30c-AYE
Introduction,Gracious!,Mort,2,https://youtu.be/Mhra6Daq05Q
Stepping Stones,Johnny Harris,dryope,4,https://youtu.be/kx_AtnvrSxg
Wild World,Cat Stevens,nottoobad,0,https://www.youtube.com/watch?v=jiG7a0q-KYI
The Falconer,Nico,Bluey The Bear,6,https://www.youtube.com/watch?v=85UN7BVkcYg
25 or 6 to 4,Chicago,aku chi,0,https://www.youtube.com/watch?v=iPYH4s7_e34
Stop! In The Name of Love,Diana Ross & The Supremes,Wonko,6,https://youtu.be/I6T_ZAP52xM
We've Only Just Begun,The Carpenters,Mollo8,3,https://youtu.be/pAYiSb9rens
Since I've Been Loving You,Led Zeppelin,volfied,1,https://www.youtube.com/watch?v=vcIem-L398w
Moondance,Van Morrison,markusin,0,https://www.youtube.com/watch?v=7kfYOGndVfU
All The Madmen,David Bowie,Volrath,5,https://youtu.be/KrlvgARHdzc
Who'll Stop The Rain,Creedence Clearwater Revival,aku chi,5,https://www.youtube.com/watch?v=T9MXNbpXQ3g
Everything Is Beautiful,Ray Stevens,bazkitcase5,1,https://youtu.be/F-zhLihVN3U
Fragment of Fear,Johnny Harris,dryope,3,https://youtu.be/usnlPDLVFpI
Make Me Smile,Chicago,Lemonspawn,2,https://youtu.be/fm4E_mxoamk
American Woman,The Guess Who,Volrath,4,https://youtu.be/9uf6EY2BZBw
Ride a White Swan,T. Rex,Bluey The Bear,2,https://www.youtube.com/watch?v=K_5IQrQ6x04
Strangers,The Kinks,seanahan,1,https://www.youtube.com/watch?v=MR52MIJuZJY
Naü Ektila,Magma,alatar224,3,https://www.youtube.com/watch?v=ime7DgdTPLY
Stage Fright,The Band,wharf_rat,4,https://www.youtube.com/watch?v=NZMfZe7OFFk
Miles From Nowhere,Cat Stevens,Wonko,0,https://youtu.be/fsI5IiHVVXw
The Wizard,Black Sabbath,MuensterCheese,3,https://youtu.be/69rU9ajij10
Dark Globe,Syd Barrett,Donald X.,2,https://www.youtube.com/watch?v=xEr6w7P44Nk
Gethsemane (I Only Want To Say),Ian Gillan,tufftaeh,1,https://www.youtube.com/watch?v=tf6yhMynTRo
ABC,The Jackson 5,Donkey-Dude,5,https://www.youtube.com/watch?v=X0Ph9Tc8tUw
Cecilia,Simon & Garfunkel,nottoobad,6,https://www.youtube.com/watch?v=e5uei2AFEaQ
Midnight Rider,The Allman Brothers Band,Sharur,0,https://youtu.be/CoCaPJWqa28
No More White Horses,T2,alatar224,1,https://www.youtube.com/watch?v=EkF7TQMbo68
Father and Son,Cat Stevens,singletee,5,https://www.youtube.com/watch?v=ZxjTC0bmKls
Only Love Can Break Your Heart,Neil Young,seanahan,4,https://www.youtube.com/watch?v=GsSHPc-tBms
The Man Who Sold the World,David Bowie,Bluey The Bear,0,https://www.youtube.com/watch?v=g33-W9t2q2Q
Make It With You,Bread,Mollo8,4,https://youtu.be/ndY9yaSwnxM
Speed King,Deep Purple,tufftaeh,2,https://www.youtube.com/watch?v=W_jfHvcAXRY
Glad,Traffic,volfied,5,https://www.youtube.com/watch?v=mDwbO_aWu9Q
Black Magic Woman/Gypsy Queen,Santana,markusin,0,https://www.youtube.com/watch?v=9wT1s96JIb0
Pictures of a City,King Crimson,MuensterCheese,2,https://youtu.be/EY8lPaA0f9o
E.V.A.,Jean-Jacques Perrey,xyrix,4,https://www.youtube.com/watch?v=dXTGN_St-ho
Get Up (I Feel Like Being a) Sex Machine,James Brown,Lemonspawn,5,https://youtu.be/JOD-M7WZkZQ
War Pigs,Black Sabbath,jsh,0,https://www.youtube.com/watch?v=bc5Nk1DXyEY
Darling Dear,The Jackson 5,wharf_rat,5,https://www.youtube.com/watch?v=wKCrcZc0sWU
Box of Rain,Grateful Dead,nottoobad,0,https://www.youtube.com/watch?v=lx4msy_rZAI
The Width Of A Circle,David Bowie,pproteus,3,https://www.youtube.com/watch?app=desktop&v=pnRNAIQAc50
It Brings a Tear,Audience,Sharur,2,https://youtu.be/Mz0yecAmXS0
Oye Cómo Va,Santana,singletee,6,https://www.youtube.com/watch?v=J7ATTjg7tpE
Layla,Derek & the Dominos,Donkey-Dude,0,https://www.youtube.com/watch?v=TngViNw2pOo
Paranoid,Black Sabbath,bazkitcase5,0,https://youtu.be/I-ZQZC4lUfk
Where Do The Children Play,Cat Stevens,Wonko,5,https://youtu.be/gXDjnPvnDyE
She Came In Through The Bathroom Window,Joe Cocker,tufftaeh,4,https://www.youtube.com/watch?v=hQTyPU9-FXQ
O-o-h Child,The Five Stairsteps,wharf_rat,1,https://www.youtube.com/watch?v=gIsj8VxQNkw
"Rock and Roll, Hoochie Koo",Johnny Winter,Sharur,5,https://youtu.be/4rN8raAgkMo
Green-Eyed Lady,Sugarloaf,volfied,0,https://youtu.be/YG8FFJQYoTM
Ohio,"Crosby, Stills, Nash & Young",aku chi,4,https://www.youtube.com/watch?v=l1PrUU2S_iw
Walkin' Down The Gloomy Streets...Alone...Broke...Depressed...Gonna Kill Myself Blues,Gil Mellé,dryope,2,https://youtu.be/E6hbfGbH9sU
Sweet Jane,The Velvet Underground,Donald X.,5,https://www.youtube.com/watch?v=nkumhBVPGdg
Have You Ever Seen the Rain?,Creedence Clearwater Revival,seanahan,0,https://www.youtube.com/watch?v=Gu2pVPWGYMQ
Gallows Pole,Led Zeppelin,Volrath,0,https://youtu.be/CmxaT37yeOs
Gimme Dat Ding,The Pipkins,xyrix,6,https://www.youtube.com/watch?v=MeIb7Ms4xHc
Free Your Mind And Your Ass Will Follow,Funkadelic,pproteus,4,https://www.youtube.com/watch?v=Yw4lqwh5c1g
Northern Sky,Nick Drake,jsh,1,https://www.youtube.com/watch?v=BBBkFWXiL9Q
Lucky Man,"Emerson, Lake & Palmer",bazkitcase5,4,https://youtu.be/NyV1WCm1_hM
Misty Canyon,Sven Libaek And His Orchestra,dryope,1,https://youtu.be/6iniYD3sryE
Across the Universe,The Beatles,tufftaeh,5,https://www.youtube.com/watch?v=90M60PzmxEE
Fire and Rain,James Taylor,nottoobad,0,https://www.youtube.com/watch?v=N8u8tASPtwg
Run Through The Jungle,Creedence Clearwater Revival,Volrath,3,https://youtu.be/EbI0cMyyw_M
The Only Living Boy in New York,Simon & Garfunkel,seanahan,3,https://www.youtube.com/watch?v=5biEjyXNa2o
Lucretia Mac Evil,"Blood, Sweat & Tears",Lemonspawn,1,https://youtu.be/CGMGBYfg334
Into the Mystic,Van Morrison,Bluey The Bear,4,https://www.youtube.com/watch?v=pbZf8GY1-Ag
Sunny Road to Salina (Road to Salina),Christophe,aku chi,3,https://www.youtube.com/watch?v=nqu0LdNhJls
Southern Man,Neil Young,markusin,2,https://www.youtube.com/watch?v=m5FCcDEA6mY
I Heard It Through The Grapevine,Creedence Clearwater Revival,xyrix,0,https://www.youtube.com/watch?v=bukPjk5zdLc
I'm Your Captain (Closer to home),Grand Funk Railroad,Mollo8,5,https://youtu.be/mmG1sjsv8fo
Swallow Song,Vashti Bunyan,alatar224,2,https://www.youtube.com/watch?v=vPRIyJQa_iU
9 to 5 Pollution Blues,The World,Donald X.,3,https://www.youtube.com/watch?v=NlqDLestH84
White Mountain,Genesis,volfied,4,https://www.youtube.com/watch?v=6hgYH3-HVrY
Wicked World,Black Sabbath,Donkey-Dude,1,https://www.youtube.com/watch?v=q9_sGE54wo4
Woodstock,"Crosby, Stills, Nash & Young",volfied,6,https://www.youtube.com/watch?v=4lx86B6a3kc
The Boxer,Simon & Garfunkel,pproteus,0,https://www.youtube.com/watch?v=l3LFML_pxlY
Lola,The Kinks,Lemonspawn,4,https://youtu.be/LFeqkIH80NE
To Beat The Devil,Kris Kristofferson,Wonko,2,https://youtu.be/faF0wOsVucw
Your Song,Elton John,tufftaeh,0,https://www.youtube.com/watch?v=FT3D1Cu6g10
Viens Tous Les Soirs,Nino Ferrer,markusin,5,https://www.youtube.com/watch?v=dBj-BLjHOJc
Move On Up,Curtis Mayfield,jsh,5,https://www.youtube.com/watch?v=6Z66wVo7uNw
Up Around The Bend,Creedence Clearwater Revival,bazkitcase5,0,https://youtu.be/DX3o1O8ZsTw
Carry On,"Crosby, Stills, Nash & Young",nottoobad,4,https://www.youtube.com/watch?v=EYl6nVr3aSI
El triste,José José,Mollo8,1,https://youtu.be/D42jooB9ghk
Bridge Over Troubled Water,Simon & Garfunkel,singletee,0,https://www.youtube.com/watch?v=4G-YQA_bsOU
Squeet,May Blitz,alatar224,5,https://www.youtube.com/watch?v=BNPcyAedAWk
Friend of the Devil,Grateful Dead,wharf_rat,2,https://www.youtube.com/watch?v=6uWwSJ0OCsM
What?,The Move,Sharur,3,https://youtu.be/Q3S-U6jJjD0
Expectations,Sven Libaek And His Orchestra,dryope,6,https://youtu.be/X1d5a6jsDRE
My Sweet Lord,George Harrison,Bluey The Bear,0,https://www.youtube.com/watch?v=SP9wms6oEMo
Nasty Sex,La Revolución de Emiliano Zapata,alatar224,6,https://www.youtube.com/watch?v=_mb0xL2Y2b8
Atom Heart Mother,Pink Floyd,pproteus,0,https://www.youtube.com/watch?v=uUHb3cBvWMY
Don't Let It Bring You Down,Neil Young,nottoobad,1,https://www.youtube.com/watch?v=eVy1h2FcRiM
Out Where the Hills,Seatrain,Donald X.,4,https://www.youtube.com/watch?v=QyJGW9GZziE
Don't Let The Green Grass Fool Ya,Wilson Pickett,Wonko,3,https://youtu.be/LCl0HPyrdQg
To Cry You a Song,Jethro Tull,bazkitcase5,3,https://youtu.be/S5vto70Q23E
Neanderthal Man,Hotlegs,xyrix,5,https://www.youtube.com/watch?v=VB_z8UtgUD4
Wade in the Water,Little Sonny,Sharur,1,https://youtu.be/tW-ulrOA-CA
Oh! Sweet Nuthin',The Velvet Underground,wharf_rat,6,https://www.youtube.com/watch?v=yhwSPRY51gs
Samba Pa Ti,Santana,Mollo8,0,https://youtu.be/timZoOs9ozo
Fire and Water,Free,Lemonspawn,3,https://youtu.be/khMURIbXV9g
The Seeker,The Who,volfied,2,https://www.youtube.com/watch?v=UAbzlj3nf4E
Trouble,Cat Stevens,singletee,1,https://www.youtube.com/watch?v=7a2A7C3XA2A
Ripple,Grateful Dead,jsh,3,https://www.youtube.com/watch?v=n8Zb55njp8E
All Right Now,Free,aku chi,0,https://www.youtube.com/watch?v=lSdBtoIIYT4
"Blues Power (live, from Just One Night)",Eric Clapton,tufftaeh,6,https://www.youtube.com/watch?v=2pQE5IN5hPE
Down on the Street,The Stooges,Bluey The Bear,3,https://www.youtube.com/watch?v=xEcLZ5x4WDs
Brokedown Palace,Grateful Dead,wharf_rat,3,https://www.youtube.com/watch?v=V3cNVAcfQLA
Roadhouse Blues,The Doors,Volrath,2,https://youtu.be/n2_X4VTCoEo
Zanzibar,Edu Lobo,xyrix,3,https://www.youtube.com/watch?v=0IfFu1c3BMg
Castles in the Air,Don McLean,seanahan,5,https://www.youtube.com/watch?v=TI9NjQK_xm8
Immigrant Song,Led Zeppelin,MuensterCheese,0,https://youtu.be/5eHkjPCGXKQ
