new_order,order,seed,submitter,year,song,artist,link
90,1,0,Bluey The Bear,2016,No Roots,Alice Merton,https://www.youtube.com/watch?v=K15LsCkHPvk
43,2,0,Bluey The Bear,2016,Lazarus,David Bowie,https://www.youtube.com/watch?v=Piq-_MOcnRc
31,3,0,Bluey The Bear,2016,Good As Hell,Lizzo,https://www.youtube.com/watch?v=xZdj3LM5X1M
16,4,0,Bluey The Bear,2016,Emotions and Math,Margaret Glaspy,https://www.youtube.com/watch?v=S622IPgL-TE
34,5,0,Donald X.,2016,"Shut Up, Kiss Me",Angel Olsen,https://www.youtube.com/watch?v=kOh1BnbuHB8
19,6,0,jsh,2016,You Want it Darker,Leonard Cohen,https://www.youtube.com/watch?v=v0nmHymgM7Y
45,7,0,markusin,2016,Dark Necessities,Red Hot Chili Peppers,https://www.youtube.com/watch?v=ZICUilv4KF0
97,8,0,nottoobad,2016,Redbone,Childish Gambino,https://www.youtube.com/watch?v=Kp7eSUU9oy8
28,9,0,pproteus,2016,★ (Blackstar),David Bowie,https://www.youtube.com/watch?v=b3lcw8qxFtE
81,10,0,saltroza,2016,Traveling Light,Leonard Cohen,https://www.youtube.com/watch?v=okaqXB6Ns5s
5,11,1,aku chi,2016,Russia ~ Atomic Era (Civilization VI),Geoff Knorr & Phill Boucher,https://www.youtube.com/watch?v=dhbv2qcxP8Q
54,12,1,alatar224,2016,Smile More,Deap Vally,https://www.youtube.com/watch?v=XsfD_J1jhSM
59,13,1,bazkitcase5,2016,Sleeping Dogs,Zakk Wylde,https://youtu.be/ztXIfSB10Bk
104,14,1,dryope,2016,霧海 Wu​-​Hai,落差草原 WWWW / Prairie WWWW,https://youtu.be/yYXq74FImAc
127,15,1,jsh,2016,Beneath the Mask,Shoji Meguro,https://www.youtube.com/watch?v=SlUYv-CUoOo
93,16,1,Lemonspawn,2016,Party Monster,The Weeknd,https://youtu.be/78-tNEdqYU4
106,17,1,markusin,2016,Damnation (Doom 2016),Mick Gordon,https://www.youtube.com/watch?v=qERnD-HutPk
80,18,1,Mollo8,2016,Soltando Fantasmas,Communion,https://youtu.be/TonoTisMB1k
119,19,1,Mort,2016,Mr. Invisible,Thank you Scientist,https://youtu.be/PTmYR_bqUVc
102,20,1,MuensterCheese,2016,Cabinet Man,Lemon Demon,https://youtu.be/iZ_P3F3nA1U
37,21,1,nottoobad,2016,Masterpiece,Big Thief,https://www.youtube.com/watch?v=pZG6u4DDb-M
114,22,1,S_Smart,2016,No Cash,Digitalism,https://www.youtube.com/watch?v=NF6i5dAjEfM
21,23,1,Shael,2016,Friend,FRND,https://youtu.be/35fBK7kCTgU
100,24,1,Sharur,2016,SEAGULLS! (Stop It Now),Bad Lip Reading,https://youtu.be/U9t-slLl30E
73,25,1,singletee,2016,Behind the Armory,case/lang/veirs,https://www.youtube.com/watch?v=n9Y0a_Tgtsk
4,26,1,threelinewhip,2016,Decks Dark,Radiohead,https://www.youtube.com/watch?v=Del3C2W63Pk
96,27,1,tufftaeh,2016,Hard Blues Shot,Laura Cox Band,https://www.youtube.com/watch?v=MJo1r7d5xQk
121,28,1,Valendale,2016,Zero,Albion,https://youtu.be/qxJMyj8wx4I
87,29,1,volfied,2016,Data & Picard,Pogo,https://www.youtube.com/watch?v=hTvWHfKI-No
11,30,1,Volrath,2016,Vimm,Metsatöll,https://youtu.be/3l5nAh63W0o
76,31,1,wharf_rat,2016,Me & Magdalena,The Monkees,https://www.youtube.com/watch?v=FfruDTmFDUA
126,32,1,Wonko,2016,Changes,Charles Bradley,https://youtu.be/uTAb5RIrPeM
47,33,1,xyrix,2016,"Frau Im Mond, Sterne Laufen",Pantha du Prince,https://www.youtube.com/watch?v=fftF9Cg7hWY
67,34,2,aku chi,2016,No Matter Where We Go,Whitney,https://www.youtube.com/watch?v=qbsW061Cw5Q
70,35,2,alatar224,2016,Fast Moving Cars,Carla dal Forno,https://www.youtube.com/watch?v=GA75UvRsF6k
9,36,2,bazkitcase5,2016,Way Down We Go,Kaleo,https://youtu.be/OCQVTDleprI
7,37,2,Donald X.,2016,"It's Over, Isn't It",Deedee Magno Hall,https://www.youtube.com/watch?v=LD6ePgLagcU
84,38,2,dryope,2016,Night Market,Burial,https://youtu.be/2R_jH14Jvks
30,39,2,Lemonspawn,2016,Store,Carly Rae Jepsen,https://youtu.be/L0cXbEPwBOg
40,40,2,Mollo8,2016,La Magia,Little Jesus,https://youtu.be/1P6U-QtnHA8
86,41,2,Mort,2016,Don't Hate Me,Steven Wilson,https://youtu.be/gn8qvgUeSmQ
64,42,2,MuensterCheese,2016,Touch-Tone Telephone,Lemon Demon,https://youtu.be/rbxL5BVEkRs
62,43,2,nottoobad,2016,Cold Little Heart,Michael Kiwanuka,https://www.youtube.com/watch?v=FGG5K1XLgkA
92,44,2,pproteus,2016,Me And Your Mama,Childish Gambino,https://www.youtube.com/watch?v=_hZCsgcKa-g
111,45,2,S_Smart,2016,Send Them Off!,Bastille,https://www.youtube.com/watch?v=7Gput3jg8ZQ
57,46,2,saltroza,2016,The Way You Play My Heart,"Tord Gustavsen, Simin Tander, Jarle Vespestad",dl.dropboxusercontent.com/s/jwv8dht7p5j8hrv/Tord%20Gustavsen%20-%20What%20Was%20Said%20-%2008%20The%20Way%20You%20Play%20My%20Heart.mp3?dl=0
51,47,2,Shael,2016,Dragonhearted,Igor Gordienko,https://youtu.be/oFDz_KzX--A
123,48,2,Sharur,2016,What Happened to the Love?,The Heavy,https://youtu.be/BatX3-hL_GU
41,49,2,singletee,2016,Blood Walk,Cabaret Nocturne,https://www.youtube.com/watch?v=XSudap5Pyrc
55,50,2,threelinewhip,2016,Dead Revolution,Hammers of Misfortune,https://www.youtube.com/watch?v=cKYQvQ8bKcc
72,51,2,tufftaeh,2016,For evigt,Volbeat feat. Johan Olsen,https://www.youtube.com/watch?v=TAhyZegVkhw
63,52,2,Valendale,2016,Love Determination,Triple-Q,https://youtu.be/uDhWfWh8AWc
118,53,2,volfied,2016,I Can't Give Everything Away,David Bowie,https://www.youtube.com/watch?v=sE1Zcngd3VA
23,54,2,Volrath,2016,Stranded,Gojira,https://youtu.be/FNdC_3LR2AI
26,55,2,wharf_rat,2016,Come Down,Anderson .Paak,https://www.youtube.com/watch?v=5srlMjz5ePs
18,56,2,Wonko,2016,They Live,B.o.B.,https://youtu.be/07rgZtdV-JY
66,57,2,xyrix,2016,Wet Bar,Body-san,https://www.youtube.com/watch?v=vmkBCKPIWig
85,58,3,aku chi,2016,Edge of Town,Middle Kids,https://www.youtube.com/watch?v=W5s5gNoeCis
13,59,3,alatar224,2016,"Tamiditine Tarhanam (My Love, I Tell You)",Bombino,https://www.youtube.com/watch?v=0zAGdp7RAPE
108,60,3,bazkitcase5,2016,Bored To Death,blink-182,https://youtu.be/8yGipyel-3I
91,61,3,Donald X.,2016,City of Stars,Ryan Gosling,https://www.youtube.com/watch?v=fQLAyvDNmUU
115,62,3,dryope,2016,Deep Down,Vacant,https://youtu.be/xwjEembhA6U
