new_order	order	seed	submitter	year	song	artist	link
95	1	0	aku chi	1976	More Than a Feeling	Boston	https://www.youtube.com/watch?v=ufQUxoidxkM
36	2	0	Bluey The Bear	1976	As	Stevie Wonder	https://www.youtube.com/watch?v=eLbmdG8U60E&list=OLAK5uy_mcG_CMFTptcsuZrsFVztPqlrZaLuaGnSQ&index=16
80	3	0	Bluey The Bear	1976	Stay	David Bowie	https://www.youtube.com/watch?v=eGuu7NiALvo
42	4	0	dryope	1976	Oxygène, Pt. 2	Jean-Michel Jarre	https://youtu.be/KRWlw0M-rdw
102	5	0	jsh	1976	Sir Duke	Stevie Wonder	https://youtu.be/s6fPN5aQVDI
58	6	0	Lemonspawn	1976	Livin' Thing	Electric Light Orchestra	https://youtu.be/Zl9o1QWHXko
52	7	0	markusin	1976	The Boys Are Back in Town	Thin Lizzy	https://www.youtube.com/watch?v=nN120kCiVyQ
117	8	0	markusin	1976	Fly Like An Eagle	Steve Miller Band	https://www.youtube.com/watch?v=6zT4Y-QNdto
19	9	0	Mollo8	1976	Carry on Wayward Son	Kansas	https://youtu.be/2X_2IdybTV0
108	10	0	Mollo8	1976	Tightrope	Electric Light Orchestra	https://youtu.be/1rpLTRiJyRA
121	11	0	Mort	1976	2112	Rush	https://youtu.be/w5jwxrTqoEA
65	12	0	nottoobad	1976	Miami 2017 (Seen the Lights Go Out on Broadway)	Billy Joel	https://www.youtube.com/watch?v=coYwBvysy3Q
105	13	0	nottoobad	1976	Turn the Beat Around	Vicki Sue Robinson	https://www.youtube.com/watch?v=vz9pZW5OvM4
30	14	0	pproteus	1976	Foreplay / Long Time	Boston	https://www.youtube.com/watch?v=TnwqUEelQjE
81	15	0	pproteus	1976	Achilles Last Stand	Led Zeppelin	https://www.youtube.com/watch?v=1t4KLOm7pO0
66	16	0	pproteus	1976	Pissing In A River	Patti Smith	https://www.youtube.com/watch?v=vuVgjvG2hgU
103	17	0	S_Smart	1976	A Passage To Bangkok	Rush	https://www.youtube.com/watch?v=zaC041pQl4I
70	18	0	Sharur	1976	Ponta De Lança Africano	Jorge Ben	https://youtu.be/Kk3Bci3jVBs
37	19	0	singletee	1976	Knowing Me, Knowing You	ABBA	https://www.youtube.com/watch?v=Dpsn_mgEJ_w
101	20	0	tufftaeh	1976	Hotel California	The Eagles	https://www.youtube.com/watch?v=Br3KkvgMAZY
107	21	0	Valendale	1976	(Don't Fear) The Reaper	Blue Öyster Cult	https://youtu.be/Dy4HA3vUv2c
4	22	0	Valendale	1976	Somebody to Love	Queen	https://youtu.be/zxIqCWWF8sI
41	23	0	volfied	1976	Breakdown	Tom Petty	https://www.youtube.com/watch?v=dqxns-JTTqA
54	24	0	Volrath	1976	Nobody's Fault But Mine	Led Zeppelin	https://youtu.be/9_kqkZTZYrg
16	25	0	Volrath	1976	Cherry Bomb	The Runaways	https://youtu.be/_EBvXpjudf8
33	26	0	Wonko	1976	Gonna Fly Now	Bill Conti	https://youtu.be/fnBrM27ZU3k
43	27	0	Wonko	1976	Blinded By The Light	Manfred Mann's Earth Band	https://youtu.be/Rzk3x3HZbJI
127	28	1	alatar224	1976	Green Mountain Home	Crooked Oak	https://www.youtube.com/watch?v=9y95PoaZEXg
128	29	1	bazkitcase5	1976	Mainstreet	Bob Seger & The Silver Bullet Band	https://youtu.be/w8VHLYXaVaU
79	30	1	Donald X.	1976	Station to Station	David Bowie	https://www.youtube.com/watch?v=ZpIhsGg2SJ0
51	31	1	I am a Banana	1976	The Great Hunger	The Wolfe Tones	https://www.youtube.com/watch?v=rF0vPDxt8hI
73	32	1	jsh	1976	O Plebeu	Jorge Ben	https://m.youtube.com/watch?v=2gUF1trx6nY
112	33	1	Lemonspawn	1976	In the Sun	Blondie	https://youtu.be/U-5r_ZgCVDY
106	34	1	markusin	1976	Stargazer	Rainbow	https://www.youtube.com/watch?v=YmJIccPWnEk
6	35	1	MuensterCheese	1976	Dum Dum Diddle	ABBA	https://youtu.be/6PLf7cP2bkM
91	36	1	S_Smart	1976	Robbery, Assault And Battery	Genesis	https://www.youtube.com/watch?v=1SBkppkWYFc
9	37	1	singletee	1976	Pastime Paradise	Stevie Wonder	https://www.youtube.com/watch?v=1TLFnokO1Oo
74	38	1	volfied	1976	New York State of Mind	Billy Joel	https://www.youtube.com/watch?v=F5LkGKJDc3Q
7	39	1	wharf_rat	1976	Sunshower	Dr. Buzzard's Original Savannah Band	https://www.youtube.com/watch?v=OH-XmrRGIaY
68	40	1	Wonko	1976	Rich Girl	Hall and Oates	https://youtu.be/AmHE65RAkSY
44	41	1	xyrix	1976	Qu'appelle Valley Saskatchewan	Buffy Sainte-Marie	https://www.youtube.com/watch?v=qkX8-2I8dwM
116	42	2	aku chi	1976	Going The Distance (Rocky)	Bill Conti	https://www.youtube.com/watch?v=EDsrpromx30
32	43	2	alatar224	1976	Beyond the Bizarre	Finch	https://www.youtube.com/watch?v=aOlFbdNHSCU
94	44	2	bazkitcase5	1976	American Girl	Tom Petty	https://youtu.be/SIhb-kNvL6M
47	45	2	Bluey The Bear	1976	Coyote	Joni Mitchell	https://www.youtube.com/watch?v=i4KBohkaHDE
109	46	2	Donald X.	1976	Black Diamond Bay	Bob Dylan	https://www.youtube.com/watch?v=73N211qQCZU
104	47	2	dryope	1976	The Tell-Tale Heart	The Alan Parsons Project	https://youtu.be/zlJt_lHulp4
40	48	2	I am a Banana	1976	Jah Live	Bob Marley & The Wailers	https://www.youtube.com/watch?v=K0Ux_w4XV_g
69	49	2	jsh	1976	Corrente	Chico Buarque	https://youtu.be/XdI-DnJ2AkM
76	50	2	Lemonspawn	1976	Billy the Kid	The Charlie Daniels Band	https://youtu.be/72Yg5mujhGM
11	51	2	Mort	1976	Nuclear Burn	Brand X	https://youtu.be/AJuXt10C3MM
124	52	2	MuensterCheese	1976	Telephone Line	Electric Lights Orchestra	https://youtu.be/77R1Wp6Y_5Y
57	53	2	S_Smart	1976	This Ain't The Summer Of Love	Blue Öyster Cult	https://www.youtube.com/watch?v=xwwrZKbJNxM
97	54	2	Sharur	1976	Cadillac Assembly Line	Albert King	https://youtu.be/2kowMWoM1z8
100	55	2	tufftaeh	1976	Music	John Miles	https://www.youtube.com/watch?v=lAsvjVx-Mg4
114	56	2	Valendale	1976	Let the Music Play	Barry White	https://youtu.be/V3eOuK_-c34
14	57	2	volfied	1976	Kid Charlemagne	Steely Dan	https://www.youtube.com/watch?v=a7kduNihACs
10	58	2	Volrath	1976	Dirty Deeds (Done Dirt Cheap)	AC/DC	https://youtu.be/UIE4UjBtx-o
62	59	2	wharf_rat	1976	Maybe Tomorrow	Smokey Haangala	https://www.youtube.com/watch?v=qPGTQN7PbCM
31	60	2	Wonko	1976	Uncloudy Day	Willie Nelson	https://youtu.be/pAWltTBhaF0
90	61	2	xyrix	1976	The Wreck of the Edmund Fitzgerald	Gordon Lightfoot	https://www.youtube.com/watch?v=FuzTkGyxkYI
3	62	3	aku chi	1976	The Cask Of Amontillado	The Alan Parsons Project	https://www.youtube.com/watch?v=vT0YZLES8DM
83	63	3	alatar224	1976	Loser ≅ Weed	The Residents	https://www.youtube.com/watch?v=FOD6MbfYgEY
18	64	3	bazkitcase5	1976	Night Moves	Bob Seger & The Silver Bullet Band	https://youtu.be/rS50UxnVTlA
115	65	3	Donald X.	1976	Ring Out, Solstice Bells	Jethro Tull	https://www.youtube.com/watch?v=XJS9TjjHxx8
84	66	3	dryope	1976	The Fall Of The House Of Usher: Pavane	The Alan Parsons Project	https://youtu.be/Bxrmr91Bygs
85	67	3	I am a Banana	1976	A Dream of Liberty	The Wolfe Tones	https://www.youtube.com/watch?v=p05oKiGkbtw
20	68	3	jsh	1976	The Piano Has Been Drinking	Tom Waits	https://youtu.be/3rzTuh202fA
15	69	3	markusin	1976	Got A Man On My Mind	Boney M.	https://www.youtube.com/watch?v=YfCa0ymlRwM
82	70	3	Mollo8	1976	I Get Crazy (When Your Eyes Touch Me)	Chuck Mangione	https://youtu.be/zkYto9CD_R4
13	71	3	Mort	1976	Dance Sister Dance (Baila Mi Hermana)	Santana	https://youtu.be/6J3xAZ2u8Y8
119	72	3	MuensterCheese	1976	That's Me	ABBA	https://youtu.be/veHPdU5S9gA
118	73	3	nottoobad	1976	Griselda	Michael Hurley	https://www.youtube.com/watch?v=ExaIdWubRhc
53	74	3	S_Smart	1976	The Wall	Kansas	https://www.youtube.com/watch?v=SBMsulQMqm8
5	75	3	Sharur	1976	Play That Funky Music	Wild Cherry	https://youtu.be/yILr8KdTPsU
98	76	3	singletee	1976	All I Can Do	Dolly Parton	https://www.youtube.com/watch?v=mRFOFo3iP-4
46	77	3	tufftaeh	1976	Highway Lady	UFO	https://www.youtube.com/watch?v=9zMFkWdpo9A
111	78	3	volfied	1976	Modern Music	Be Bop Deluxe	https://www.dropbox.com/s/e0avclshodrp9ek/Be%20Bop%20Deluxe%20-%20Modern%20Music.mp4?dl=0
29	79	3	Volrath	1976	Peace Of Mind	Boston	https://youtu.be/edwk-8KJ1Js
45	80	3	wharf_rat	1976	Bright Size Life	Pat Metheny	https://www.youtube.com/watch?v=iQANdnDFe4c
126	81	3	Wonko	1976	Don't Leave Me This Way	Thelma Houston	https://youtu.be/rUdw7V-FC_Q
61	82	3	xyrix	1976	Soleil D'Ork	Magma	https://www.youtube.com/watch?v=o7vTliUGIEg
60	83	4	aku chi	1976	So It Goes	Nick Lowe	https://www.youtube.com/watch?v=UCaf8woXAeM
122	84	4	alatar224	1976	Okonkolé Y Trompa	Jaco Pastorius	https://www.youtube.com/watch?v=CCU0LXBt0bQ
22	85	4	bazkitcase5	1976	Hello Old Friend	Eric Clapton	https://youtu.be/vn1ZSARfq2g
86	86	4	Bluey The Bear	1976	Air Born	Camel	https://www.youtube.com/watch?v=KNJGkyCqtTU
17	87	4	Donald X.	1976	Hejira	Joni Mitchell	https://www.youtube.com/watch?v=5AfPR_B8s-A
75	88	4	dryope	1976	Floating	Klaus Schulze	https://youtu.be/Xp2xpfWV6IM
23	89	4	I am a Banana	1976	The Seeker	Merle Haggard	https://www.youtube.com/watch?v=FCtxq_gYfno
50	90	4	jsh	1976	Pablo Picasso	The Modern Lovers	https://youtu.be/1agI3u1YUjQ
63	91	4	Lemonspawn	1976	Rip Her to Shreds	Blondie	https://youtu.be/WHsH_XLn-Zk
123	92	4	markusin	1976	It Keeps You Running	The Doobie Brothers	https://www.youtube.com/watch?v=_BsTF22SPyM
25	93	4	Mollo8	1976	The Royal Scam	Steely Dan	https://youtu.be/4IU1ZdDfXTY
55	94	4	Mort	1976	Pulstar	Vangelis	https://youtu.be/HaMBmBeNvtM
67	95	4	MuensterCheese	1976	The Millionaire Waltz	Queen	https://youtu.be/TJU-E-Etop8
39	96	4	nottoobad	1976	War	Bob Marley	https://www.youtube.com/watch?v=-JwL3lPBQ5E
28	97	4	pproteus	1976	Afterglow	Genesis	https://www.youtube.com/watch?v=U7XLIbKpO1w
35	98	4	S_Smart	1976	Mission (A World Record)	Electric Light Orchestra	https://www.youtube.com/watch?v=sO0hVomtdTk
89	99	4	Sharur	1976	Gimme Back My Bullets	Lynyrd Skynyrd	https://youtu.be/7pyo2f0uMBA
99	100	4	singletee	1976	Stratosfear	Tangerine Dream	https://www.youtube.com/watch?v=2w8VsvJ40sM
120	101	4	tufftaeh	1976	Too Old To Rock 'N' Roll: Too Young To Die [live 1978]	Jethro Tull	https://www.youtube.com/watch?v=B1GcgoTWu04
72	102	4	Valendale	1976	Isn't She Lovely	Stevie Wonder	https://youtu.be/oE56g61mW44
78	103	4	Volrath	1976	God Of Thunder	Kiss	https://youtu.be/1dFByQyA49I
2	104	4	wharf_rat	1976	Shake Some Action	Flamin' Groovies	https://www.youtube.com/watch?v=7cxM51kPdeQ
24	105	4	xyrix	1976	Disco Duck	Rick Dees And His Cast Of Idiots	https://www.youtube.com/watch?v=wukPSRhq2c4
96	106	5	aku chi	1976	Something About You	Boston	https://www.youtube.com/watch?v=osG16m9lphY
93	107	5	alatar224	1976	Wunderschätze	Novalis	https://www.youtube.com/watch?v=4tuOrhUTZb0
125	108	5	bazkitcase5	1976	Last Child	Aerosmith	https://youtu.be/DzVwt-1LpxE
12	109	5	Bluey The Bear	1976	I Want More	Can	https://www.youtube.com/watch?v=2yWItRfjg8w
