new_order	order	seed	submitter	year	song	artist	link	submitters
42	1	0	demonsdemon	1979	Funkytown	Lipps Inc.	https://www.youtube.com/watch?v=OAC4ItP0xWM	xyrix; singletee; demonsdemon
47	2	0	Mort	1979	Goodbye Stranger	Supertramp	https://youtu.be/u8pVZ5hTGJQ	markusin; Lemonspawn; Mort
115	3	0	MuensterCheese	1979	Don't Bring Me Down	Electric Light Orchestra	https://youtu.be/-rD-0tlGGPo	xyrix; MuensterCheese
56	4	0	seanahan	1979	My My, Hey Hey (Out of the Blue)	Neil Young	https://www.youtube.com/watch?v=i6RZY4Ar3fw	xyrix; seanahan
15	5	0	seanahan	1979	My Sharona	The Knack	https://www.youtube.com/watch?v=ZR-3r5Z9kqw	markusin; Lemonspawn; aku chi; seanahan
77	6	0	seanahan	1979	Mother	Pink Floyd	https://www.youtube.com/watch?v=xe3NUKCnZp4	seanahan; pproteus
96	7	0	singletee	1979	Gimme! Gimme! Gimme! (A Man After Midnight)	ABBA	https://www.youtube.com/watch?v=pa2j0Bh83ms	xyrix; singletee
19	8	0	singletee	1979	Moskau	Dschinghis Khan	https://www.youtube.com/watch?v=8fSpEYQUNpQ	singletee; strumphf
16	9	0	strumphf	1979	Boys Don't Cry	The Cure	https://www.youtube.com/watch?v=4KLVnmChtIE	assemble_me; strumphf; SuperDuper
125	10	0	SuperDuper	1979	Another Brick in the Wall, Part 2	Pink Floyd	https://youtu.be/zz8frWcmthA	xyrix; SuperDuper
75	11	0	SuperDuper	1979	London Calling	The Clash	https://youtu.be/LC2WpBcdM_A	aku chi; SuperDuper
12	12	0	Valendale	1979	Video Killed the Radio Star	The Buggles	https://youtu.be/1zABYZN5jO8	xyrix; Valendale
104	13	0	Valendale	1979	The Devil Went Down to Georgia	The Charlie Daniels Band	https://youtu.be/sh7BZf7D5Bw	markusin; Lemonspawn; singletee; MuensterCheese; Valendale
98	14	0	Valendale	1979	Message in a Bottle	The Police	https://youtu.be/fWB7-lFBshc	jsh; aku chi; Valendale
80	15	0	volfied	1979	Comfortably Numb	Pink Floyd	https://www.youtube.com/watch?v=x-xTttimcNk	volfied; aku chi; Mollo8; tufftaeh
100	16	0	volfied	1979	In the Evening	Led Zeppelin	https://www.youtube.com/watch?v=bJSJavz1AOM	volfied; aku chi
7	17	0	xyrix	1979	Cool for Cats	Squeeze	https://www.youtube.com/watch?v=iTVHOarV338	xyrix; Donald X.
67	18	1	aku chi	1979	Flirtin' With Disaster	Molly Hatchet	https://youtu.be/Ta5hPRmxo8k	
28	19	1	alatar224	1979	3 Wheels	Art Bears	https://www.youtube.com/watch?v=CubDbe_mViA	
99	20	1	assemble_me	1979	Spectators of Life	The Names	https://youtu.be/vNBYjJRfp68	
45	21	1	Bluey The Bear	1979	Bela Lugosi's Dead	Bauhaus	https://www.youtube.com/watch?v=Yy9h2q_dr9k	
68	22	1	Donald X.	1979	Dun Ringill	Jethro Tull	https://www.youtube.com/watch?v=2fJg9g77f94	
2	23	1	dryope	1979	Cloudburst Flight	Tangerine Dream	https://youtu.be/i4Ni-HsWldg	
6	24	1	jsh	1979	A Clean Break	Talking Heads	https://www.youtube.com/watch?v=-vhtCe4PmHA	
128	25	1	Komaitho	1979	Funky Flushin'	山下 達郎 (Tatsuro Yamashita)	https://youtu.be/ch-ubxq5TIw	
124	26	1	Lemonspawn	1979	Dreaming	Blondie	https://youtu.be/_xko4lzzWPM	
9	27	1	markusin	1979	Hey You	Pink Floyd	https://www.youtube.com/watch?v=TFjmvfRvjTc	
112	28	1	Mollo8	1979	Un velero llamado Libertad	José Luis Perales	https://youtu.be/FI-irRzefdM	
72	29	1	Mort	1979	One Step Beyond	Madness	https://youtu.be/CGiBuMC47ng	
27	30	1	MuensterCheese	1979	Lovelight	ABBA	https://youtu.be/U7-1hc2INmQ	
69	31	1	pproteus	1979	Rapper's Delight	Sugarhill Gang	https://www.youtube.com/watch?v=rKTUAESacQM	
90	32	1	Sharur	1979	Rolling Down to Old Maui	Stan Rogers	https://youtu.be/P7GC9KsvkDI	
103	33	1	tufftaeh	1979	Rock'n'Roll Women	Whitesnake	https://www.youtube.com/watch?v=fTflkPC7Prs	
108	34	1	wharf_rat	1979	Springtime Again	The Sun Ra Arkestra	https://www.youtube.com/watch?v=74nf26LBI9g	
86	35	1	xyrix	1979	Harmonic Ascendant	Robert Schröder	https://www.youtube.com/watch?v=-B4warFRCxc	
119	36	2	aku chi	1979	Roisin Dubh (Black Rose): A Rock Legend	Thin Lizzy	https://youtu.be/TjjpBb9q1PA	
10	37	2	alatar224	1979	String Quartet No. 5	Ben Johnston, Kepler Quartet	https://www.youtube.com/watch?v=jOpQwiEB4g0	
111	38	2	assemble_me	1979	Disorder	Joy Division	https://youtu.be/5BIElTtN6Fs	
40	39	2	Bluey The Bear	1979	Natural's Not In It	Gang of Four	https://www.youtube.com/watch?v=ZFDRjuA5JV4	
38	40	2	demonsdemon	1979	Space Colony	Takeo Watanabe / Yushi Matsuyama	https://www.youtube.com/watch?v=C9F5_Ecq0T0	
94	41	2	Donald X.	1979	Accidents Will Happen	Elvis Costello	https://www.youtube.com/watch?v=aU_zMvaX05Q	
107	42	2	dryope	1979	Jazz Carnival	Azymuth	https://youtu.be/EWcocaX9Ek0	
64	43	2	jsh	1979	Powderfinger	Neil Young	https://www.youtube.com/watch?v=tdPs5YXQTSw	
121	44	2	Komaitho	1979	Kalimba Night	佐藤博 (Hiroshi Sato)	https://youtu.be/07SblTgJnNo	
51	45	2	Lemonspawn	1979	I Can't Tell You Why	The Eagles	https://youtu.be/YWkkZcQcb5Q	
32	46	2	markusin	1979	A Warm Summer Night	Chic	https://www.youtube.com/watch?v=pdB0ngR-ZEk	
58	47	2	Mollo8	1979	Tragedy	Bee Gees	https://youtu.be/sIY6yCGnzgc	
13	48	2	MuensterCheese	1979	Angeleyes	ABBA	https://youtu.be/GHddJnNo_BQ	
23	49	2	pproteus	1979	Nobody Home	Pink Floyd	https://www.youtube.com/watch?v=gNMGrkCNLVk	
3	50	2	Sharur	1979	Computer Games	Mi-Sex	https://youtu.be/F-7VweoFu9w	
34	51	2	singletee	1979	Campaign / Death of a Hero (Siberiade theme)	Eduard Artemyev	https://www.youtube.com/watch?v=sJj9y4t9UnU	
50	52	2	strumphf	1979	Crazy Little Thing Called Love	Queen	https://www.youtube.com/watch?v=LV4gSOMVbT8	
63	53	2	SuperDuper	1979	Goodbye Blue Sky	Pink Floyd	https://youtu.be/bn6YnUt4Vuk	
85	54	2	tufftaeh	1979	Always Somewhere	Scorpions	https://www.youtube.com/watch?v=AepjLbcLrJE	
59	55	2	volfied	1979	Octet	Steve Reich	https://www.youtube.com/watch?v=6xEMBmS36f8	
109	56	2	wharf_rat	1979	Do They Owe Us a Living?	Crass	https://www.youtube.com/watch?v=93T5S8CklS4	
83	57	2	xyrix	1979	Mandolay	La Flavour	https://www.youtube.com/watch?v=Kn3Qp1vYGis	
93	58	3	aku chi	1979	Cruel To Be Kind	Nick Lowe	https://youtu.be/FQdxGpV5aV8	
41	59	3	alatar224	1979	S.I.B. (Swelling Itching Brain)	Devo	https://www.youtube.com/watch?v=lJPVd8cTLBc	
105	60	3	assemble_me	1979	The Guns of Brixton	The Clash	https://youtu.be/JcW8VNwYvL0	
46	61	3	Bluey The Bear	1979	I Heard It Through the Grapevine	The Slits	https://www.youtube.com/watch?v=LHHEHIoZMuY	
92	62	3	demonsdemon	1979	Eien ni Amuro (Amuro Forever)	Takeo Watanabe / Yushi Matsuyama	https://www.youtube.com/watch?v=zhGK00KkkDE	
88	63	3	Donald X.	1979	Look Sharp!	Joe Jackson	https://www.youtube.com/watch?v=V8-b9LK1trE	
53	64	3	dryope	1979	Detroit Snackbar Dreamer	Edgar Froese	https://youtu.be/jHybRC_IQgo	
76	65	3	jsh	1979	Rydeen	Yellow Magic Orchestra	https://www.youtube.com/watch?v=Nv5jMLJQ9f4	
36	66	3	Komaitho	1979	I Thought It Was You	Kimiko Kasai	https://youtu.be/yrGjUPzvXiE	
74	67	3	Lemonspawn	1979	Hot Stuff	Donna Summer	https://youtu.be/nYMeJSehCe4	
11	68	3	markusin	1979	Here Comes My Girl	Tom Petty and the Heartbreakers	https://www.youtube.com/watch?v=AvjesHXpH-g	
8	69	3	Mollo8	1979	Enough is Enough (No more Tears)	Donna Summer & Barbra Streisand	https://youtu.be/MKZ7boyUD0s	
20	70	3	Mort	1979	Breathless	Robert Fripp	https://youtu.be/Rz1GVwLwH2M	
55	71	3	MuensterCheese	1979	Shine A Little Love	Electric Light Orchestra	https://youtu.be/22nXyKzXtfw	
48	72	3	pproteus	1979	Superappin'	Grandmaster Flash And The Furious Five	https://www.youtube.com/watch?v=Up8zxybJNHQ	
81	73	3	Sharur	1979	I Thank You	ZZ Top	https://youtu.be/5TTbwJ1kIQ0	
37	74	3	strumphf	1979	Green Finch and Linnet Bird (Sweeney Todd)	Stephen Sondheim	https://www.youtube.com/watch?v=xGB1B2XIClI	
24	75	3	SuperDuper	1979	Dancing Barefoot	Patti Smith	https://youtu.be/ZKIWYddocpA	
35	76	3	tufftaeh	1979	Does Your Mother Know	ABBA	https://www.youtube.com/watch?v=dhxAsMoIuhk	
95	77	3	volfied	1979	Cities	Talking Heads	https://www.youtube.com/watch?v=K5H1nEP2wXA	
70	78	3	wharf_rat	1979	Nellie Kane	Hot Rize	https://www.youtube.com/watch?v=gAFdGvXLL7Y	
43	79	4	alatar224	1979	Boom Boom	Raffi with Ken Whiteley	https://www.youtube.com/watch?v=it2yqwhvDcI	
44	80	4	assemble_me	1979	Making Plans for Nigel	XTC	https://youtu.be/gZjZBCZWxpg	
106	81	4	Bluey The Bear	1979	Boys Keep Swinging	David Bowie	https://www.youtube.com/watch?v=-2ixleTdlN8	
65	82	4	demonsdemon	1979	Gloryhallastoopid (Pin The Tale On The Funky)	Parliament	https://youtu.be/Su5nSvRrAkk	
33	83	4	Donald X.	1979	Planet Claire	B-52's	https://www.youtube.com/watch?v=uaXtqSmUlxA	
71	84	4	dryope	1979	Me Za Me	Akira Ito	https://youtu.be/Mf6NqbScpjE	
116	85	4	jsh	1979	Rainbow Connection	Kermit the Frog	https://www.youtube.com/watch?v=WS3Lkc6Gzlk	
30	86	4	Komaitho	1979	真夜中のドア(Stay With Me)	松原 みき(Matsubara Miki)	https://youtu.be/VEe_yIbW64w	
22	87	4	Lemonspawn	1979	Manifesto	Roxy Music	https://youtu.be/nYeCn7deon0	
60	88	4	markusin	1979	Stay Clean	Motörhead	https://www.youtube.com/watch?v=J8MuArrlmmw	
18	89	4	Mollo8	1979	People of the South Wind	Kansas	https://youtu.be/lkii2P47ZX8	
78	90	4	seanahan	1979	Full Force Gale	Van Morrison	https://www.youtube.com/watch?v=mTCrVydBAqo	
66	91	4	Sharur	1979	Rich Woman	The Fabulous Thunderbirds	https://youtu.be/DAOu0SNFZPo	
101	92	4	singletee	1979	Tusk	Fleetwood Mac	https://www.youtube.com/watch?v=EmuBOfurv3o	
118	93	4	strumphf	1979	My Friends (Sweeney Todd)	Stephen Sondheim	https://www.youtube.com/watch?v=YVHwR_JbeYM	
79	94	4	tufftaeh	1979	Whatever You Want	Status Quo	https://www.youtube.com/watch?v=eTZq0fQG-PI	
14	95	4	wharf_rat	1979	And the Beat Goes On	The Whispers	https://www.youtube.com/watch?v=2dME9lfh6xU	
97	96	4	xyrix	1979	Technopolis	Yellow Magic Orchestra	https://www.youtube.com/watch?v=di_L7O56ZXE	
82	97	5	alatar224	1979	Don't Let Me Stop You	The Static	https://www.youtube.com/watch?v=NW3y9t_jj8k	
91	98	5	assemble_me	1979	Cool	Pylon	https://youtu.be/5-9aztmuoT8	
127	99	5	Bluey The Bear	1979	Frederick	Patti Smith	https://www.youtube.com/watch?v=a-befOtn9GQ	
84	100	5	demonsdemon	1979	Exalt Exalt	Azoto	https://www.youtube.com/watch?v=bxSKpJCT7MU	
123	101	5	Donald X.	1979	La Dolce Vita	Sparks	https://www.youtube.com/watch?v=JlGZN74iaZ4	
57	102	5	dryope	1979	Time Actor	Richard Wahnfried	https://youtu.be/IsJyvQ2GNvg	
62	103	5	jsh	1979	Cars	Gary Numan	https://www.youtube.com/watch?v=99fRdfVIOr4	
39	104	5	Komaitho	1979	9月になったらGOOD-BYE	大橋純子 (Junko Ohashi)	https://youtu.be/KGnbFjiM3ks	
120	105	5	Lemonspawn	1979	Atomic	Blondie	https://youtu.be/2pF0H8-ktoA	
26	106	5	markusin	1979	All My Love	Led Zeppelin	https://www.youtube.com/watch?v=vwFz3EThGMU	
21	107	5	Mollo8	1979	Buenos Días Señor Sol	Juan Gabriel	https://youtu.be/sqDbTYjMu48	
73	108	5	MuensterCheese	1979	Fool in the Rain	Led Zeppelin	https://youtu.be/I57nIP0vc44	
117	109	5	Sharur	1979	Walking On The Moon	The Police	https://youtu.be/1clHdOoVLD0	
102	110	5	singletee	1979	The Logical Song	Supertramp	https://www.youtube.com/watch?v=low6Coqrw9Y	
1	111	5	SuperDuper	1979	Death or Glory	The Clash	https://youtu.be/g7ilK8Gr9uY	
89	112	5	tufftaeh	1979	Highway To Hell	AC-DC	https://www.youtube.com/watch?v=L_AYoLZGoHo	
5	113	5	volfied	1979	Refugee	Tom Petty and the Heartbreakers	https://www.youtube.com/watch?v=eYRSefQJQnc	
114	114	5	wharf_rat	1979	Fite Dem Back	Linton Kwesi Johnson	https://www.youtube.com/watch?v=4QDLXZRhqAA	
61	115	5	xyrix	1979	I Zimbra	Talking Heads	https://www.youtube.com/watch?v=qKFn66dzdz0	
4	116	6	alatar224	1979	Hot on the Heels of Love	Throbbing Gristle	https://www.youtube.com/watch?v=trEo8O_ZftI	
113	117	6	assemble_me	1979	Shadowplay	Joy Division	https://youtu.be/dxDzCk7POOM	
49	118	6	Bluey The Bear	1979	Dangerous Type	The Cars	https://www.youtube.com/watch?v=aDN3Y937VOg	
122	119	6	Donald X.	1979	Joe's Garage	Frank Zappa	https://www.youtube.com/watch?v=mz_EeEN_YXQ	
87	120	6	jsh	1979	Thrasher	Neil Young	https://www.youtube.com/watch?v=HOgSTD7Kjrw	
31	121	6	Komaitho	1979	Shi Shi Huan Xiao	袁麗嫦(Li Chang Yuan)	https://youtu.be/WPQrcb4PQcU	
130	122	6	Lemonspawn	1979	Highway to Hell	AC/DC	https://youtu.be/SgLy-6yj1Ws	
54	124	6	Mollo8	1979	September Morn	Neil Diamond	https://youtu.be/zEuOkapb-_o	
129	123	6	markusin	1979	Boogie Wonderland	Earth, Wind & Fire, The Emotions	https://www.youtube.com/watch?v=_93PWvC2_vU	
29	125	6	Sharur	1979	Good Times	Chic	https://youtu.be/51r5f5OdIY0	
52	126	6	singletee	1979	Don't Stop 'Til You Get Enough	Michael Jackson	https://www.youtube.com/watch?v=n3qQtSRmHxo	
126	127	6	SuperDuper	1979	Working Class Hero	Marianne Faithful	https://youtu.be/7zYwoCB5hZo	
